dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,accumulated cases,accumulated deaths
15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,37172386,714,23
14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386,665,21
13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386,607,18
12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386,555,18
11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386,521,15
10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386,484,15
09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386,423,14
08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386,367,11
07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386,337,7
06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386,299,7
05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386,270,5
04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386,235,4
03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386,235,4
02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386,192,4
01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386,166,4
31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386,141,4
30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386,114,4
29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386,106,3
28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386,91,2
27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386,75,1
26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386,75,1
25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386,42,1
24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386,40,1
23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386,34,0
22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386,24,0
21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386,24,0
20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386,22,0
19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386,22,0
18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386,22,0
17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386,21,0
16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386,16,0
15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386,10,0
11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386,7,0
08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386,4,0
02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386,1,0
01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386,1,0
29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386,1,0
28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386,1,0
27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386,1,0
26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386,1,0
25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386,1,0
24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,37172386,0,0
31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,37172386,0,0
15/04/2020,15,4,2020,8,1,Albania,AL,ALB,2866376,475,24
14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2866376,467,23
13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2866376,446,23
12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2866376,433,23
11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2866376,416,23
10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2866376,409,23
09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2866376,400,22
08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2866376,383,22
07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2866376,377,22
06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2866376,361,21
05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2866376,333,19
04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2866376,304,17
03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2866376,277,16
02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2866376,259,15
01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2866376,243,15
